url,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,login_form,favicon,links_in_tags,email_submission_forms,internal_media_count,external_media_count,sfh,nb_iframe,nb_popup_window_count,onmouseover,right click disabled,empty_title,page_depth,
http://pub-ba929d2ab1f04e75869e394f6d120bba.r2.dev/index.html,malicious,2,0,0,0,0,1,1,1,0,0,96,TRUE,0,0,FALSE,FALSE,FALSE,7
http://facebookmz.blogspot.com/,malicious,3,0,1,0,3,0,1,1,0,0,0,FALSE,0,0,FALSE,FALSE,FALSE,19
http://easy-bank-pi.vercel.app/,malicious,31,0.032258065,0,0.16129032258064516,1,0,0,0,0,6,0,FALSE,0,0,FALSE,FALSE,FALSE,7
http://easy-bank-tau.vercel.app/,malicious,0,0,0,0,0,0,0,1,0,0,0,FALSE,0,0,FALSE,FALSE,FALSE,3
http://gb.itdb.top/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
http://keerthanasivakumar15.github.io/amazon-webpage,malicious,67,0,0,0,2,0,0,1,0,84,2,FALSE,0,0,FALSE,FALSE,FALSE,12
https://darkreaper-dev.github.io/dfhdspofdpof-hdpondojsfjdsj/,malicious,29,0,1,0,0,1,1,1,0,3,0,FALSE,1,0,FALSE,FALSE,FALSE,14
https://robiox.com.af/games/121864768012064/Fish-It?privateServerLinkCode=61494118017510042313290324499108,malicious,22,0,0,0.4090909090909091,34,0,1,1,0,3,5,FALSE,1,0,FALSE,FALSE,FALSE,14
http://gemini.izoa.fun/,malicious,5,0,1,0,1,1,0,1,0,1,1,TRUE,0,0,FALSE,FALSE,FALSE,6
http://toyioudoete.github.io/easyBank,malicious,22,0,0,0,1,0,0,1,0,15,0,FALSE,0,0,FALSE,FALSE,FALSE,8
http://amazon-trial.vercel.app/ja,malicious,5,0.4,0.2,0,0,0,0,1,0,0,3,FALSE,0,0,FALSE,FALSE,FALSE,12
https://parking-pcnfyi.vip/index.html,malicious,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,FALSE,FALSE,FALSE,2
http://accounts.bmwweb.biz/en/login,malicious,0,0,0,0,6,0,2,1,0,0,0,TRUE,1,0,FALSE,FALSE,FALSE,15
